ID,Scenario,Environment,Number,Stability,Efficiency,Truth-telling Rate
4111,job,DA,5v5,0.94,0.94,0.9499999999999996
4112,job,DA,5v5,0.99,0.98,0.9399999999999996
4113,job,DA,5v5,0.99,0.0,0.9499999999999996
4114,job,DA,5v5,0.9,0.5,0.72
4115,job,DA,5v5,0.86,0.07,0.8499999999999993
4121,job,EADA,5v5,0.97,0.97,0.9719999999999998
4122,job,EADA,5v5,0.98,0.91,0.8119999999999992
4123,job,EADA,5v5,0.02,0.59,0.6439999999999998
4124,job,EADA,5v5,0.57,0.3,0.6159999999999999
4125,job,EADA,5v5,0.31,0.6,0.6579999999999997
4131,job,Boston,5v5,0.75,0.75,0.8259999999999995
4132,job,Boston,5v5,0.71,0.14,0.2079999999999998
4133,job,Boston,5v5,0.42,0.0,0.076
4134,job,Boston,5v5,0.47,0.0,0.046
4135,job,Boston,5v5,0.15,0.02,0.114
4141,job,RSD,5v5,1.0,1.0,1.0
4142,job,RSD,5v5,0.41,1.0,0.996
4143,job,RSD,5v5,0.0,1.0,1.0
4144,job,RSD,5v5,0.09,1.0,1.0
4145,job,RSD,5v5,0.0,0.99,0.986
4151,job,TTC,5v5,0.82,0.82,0.8499999999999994
4152,job,TTC,5v5,0.82,0.06,0.1939999999999998
4153,job,TTC,5v5,0.34,0.01,0.1479999999999999
4154,job,TTC,5v5,0.42,0.0,0.082
4155,job,TTC,5v5,0.1,0.0,0.1099999999999999
4211,school,DA,5v5,1.0,1.0,0.998
4212,school,DA,5v5,1.0,1.0,0.998
4213,school,DA,5v5,1.0,0.0,0.9659999999999996
4214,school,DA,5v5,1.0,0.99,0.998
4215,school,DA,5v5,0.99,0.99,0.996
4221,school,EADA,5v5,0.99,0.99,0.9679999999999996
4222,school,EADA,5v5,0.99,0.7,0.8879999999999995
4223,school,EADA,5v5,0.0,0.79,0.9059999999999993
4224,school,EADA,5v5,0.85,0.7,0.9079999999999994
4225,school,EADA,5v5,0.08,0.9,0.8879999999999992
4231,school,Boston,5v5,0.83,0.83,0.8739999999999997
4232,school,Boston,5v5,0.8,0.19,0.2119999999999998
4233,school,Boston,5v5,0.04,0.05,0.1799999999999998
4234,school,Boston,5v5,0.38,0.03,0.1379999999999999
4235,school,Boston,5v5,0.2,0.04,0.1319999999999999
4241,school,RSD,5v5,1.0,1.0,1.0
4242,school,RSD,5v5,0.35,1.0,1.0
4243,school,RSD,5v5,0.0,1.0,1.0
4244,school,RSD,5v5,0.07,1.0,1.0
4245,school,RSD,5v5,0.0,1.0,1.0
4251,school,TTC,5v5,0.98,0.98,0.99
4252,school,TTC,5v5,0.95,0.91,0.9379999999999996
4253,school,TTC,5v5,0.0,0.92,0.9619999999999996
4254,school,TTC,5v5,0.03,0.97,0.9339999999999996
4255,school,TTC,5v5,0.02,0.98,0.9279999999999996
4311,nursery,DA,5v5,1.0,1.0,0.984
4312,nursery,DA,5v5,1.0,0.95,0.968
4313,nursery,DA,5v5,1.0,0.0,0.9399999999999996
4314,nursery,DA,5v5,0.96,0.99,0.9759999999999998
4315,nursery,DA,5v5,0.99,0.01,0.972
4321,nursery,EADA,5v5,0.98,0.98,0.976
4322,nursery,EADA,5v5,1.0,0.78,0.9119999999999994
4323,nursery,EADA,5v5,0.0,0.91,0.9299999999999994
4324,nursery,EADA,5v5,0.61,0.58,0.8539999999999992
4325,nursery,EADA,5v5,0.02,0.95,0.97
4331,nursery,Boston,5v5,0.92,0.92,0.9299999999999996
4332,nursery,Boston,5v5,0.76,0.25,0.2399999999999997
4333,nursery,Boston,5v5,0.26,0.08,0.1839999999999998
4334,nursery,Boston,5v5,0.52,0.0,0.078
4335,nursery,Boston,5v5,0.19,0.02,0.108
4341,nursery,RSD,5v5,1.0,1.0,1.0
4342,nursery,RSD,5v5,0.26,1.0,1.0
4343,nursery,RSD,5v5,0.0,1.0,1.0
4344,nursery,RSD,5v5,0.1,1.0,1.0
4345,nursery,RSD,5v5,0.0,1.0,1.0
4351,nursery,TTC,5v5,1.0,1.0,1.0
4352,nursery,TTC,5v5,0.99,0.93,0.978
4353,nursery,TTC,5v5,0.0,0.88,0.9439999999999996
4354,nursery,TTC,5v5,0.01,0.96,0.972
4355,nursery,TTC,5v5,0.08,0.91,0.9459999999999996
6111,job,free_passive,5v5,0.16,0.16,0.0
6112,job,free_passive,5v5,0.33,0.4,0.0
6113,job,free_passive,5v5,0.01,0.35,0.0
6114,job,free_passive,5v5,1.0,1.0,0.0
6115,job,free_passive,5v5,0.1,0.1,0.0
6121,job,free_active,5v5,0.52,0.52,0.0
6122,job,free_active,5v5,0.84,0.84,0.0
6123,job,free_active,5v5,0.01,0.27,0.0
6125,job,free_active,5v5,0.13,0.04,0.0
6211,school,free_passive,5v5,0.18,0.18,0.0
6221,school,free_active,5v5,0.6,0.6,0.0
6311,nursery,free_passive,5v5,0.19,0.19,0.0
6321,nursery,free_active,5v5,0.53,0.53,0.0
